starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 27 14:17:22 2016	1453900642	0	45	45	45
Wed Jan 27 14:17:15 2016	1453900635	0	45	45	45
Wed Jan 27 14:17:21 2016	1453900641	0	45	45	45
Wed Jan 27 14:17:22 2016	1453900642	0	45	45	45
Wed Jan 27 14:17:13 2016	1453900633	0	45	45	45
Wed Jan 27 14:17:21 2016	1453900641	0	45	45	45
Wed Jan 27 14:17:13 2016	1453900633	0	45	45	45
Wed Jan 27 14:17:22 2016	1453900642	0	45	45	45
Wed Jan 27 14:17:18 2016	1453900638	0	45	45	45
Wed Jan 27 14:17:22 2016	1453900642	0	45	45	45
Wed Jan 27 14:17:20 2016	1453900640	0	45	45	45
Wed Jan 27 14:17:19 2016	1453900639	0	45	45	45
Wed Jan 27 14:17:17 2016	1453900637	0	45	45	45
Wed Jan 27 14:17:20 2016	1453900640	0	45	45	45
Wed Jan 27 14:17:24 2016	1453900644	0	45	45	45
Wed Jan 27 14:17:23 2016	1453900643	0	45	46	45
Wed Jan 27 14:17:23 2016	1453900643	0	45	46	45
Wed Jan 27 14:17:24 2016	1453900644	0	45	46	45
Wed Jan 27 14:17:21 2016	1453900641	0	46	46	45
Wed Jan 27 14:17:19 2016	1453900639	0	46	46	45
Wed Jan 27 14:17:14 2016	1453900634	0	46	46	46
Wed Jan 27 14:17:16 2016	1453900636	0	46	46	46
Wed Jan 27 14:17:22 2016	1453900642	0	46	46	46
Wed Jan 27 14:17:24 2016	1453900644	0	46	46	46
Wed Jan 27 14:17:13 2016	1453900633	0	46	46	46
Wed Jan 27 14:17:20 2016	1453900640	0	46	46	46
Wed Jan 27 14:17:23 2016	1453900643	0	46	46	46
Wed Jan 27 14:17:24 2016	1453900644	0	46	46	46
Wed Jan 27 14:17:21 2016	1453900641	0	46	46	46
Wed Jan 27 14:17:16 2016	1453900636	0	46	46	46
Wed Jan 27 14:17:24 2016	1453900644	0	46	46	46
Wed Jan 27 14:17:23 2016	1453900643	0	46	46	46
Wed Jan 27 14:17:16 2016	1453900636	0	46	46	46
Wed Jan 27 14:17:14 2016	1453900634	0	46	46	46
Wed Jan 27 14:17:17 2016	1453900637	0	46	46	46
Wed Jan 27 14:17:20 2016	1453900640	0	46	46	46
Wed Jan 27 14:17:18 2016	1453900638	0	46	46	46
Wed Jan 27 14:17:23 2016	1453900643	0	46	46	46
Wed Jan 27 14:17:24 2016	1453900644	0	46	46	46
Wed Jan 27 14:17:14 2016	1453900634	0	46	46	46
Wed Jan 27 14:17:13 2016	1453900633	0	46	46	46
Wed Jan 27 14:17:21 2016	1453900641	0	46	46	46
Wed Jan 27 14:17:16 2016	1453900636	0	46	46	46
Wed Jan 27 14:17:24 2016	1453900644	0	46	46	46
Wed Jan 27 14:17:15 2016	1453900635	0	46	46	46
Wed Jan 27 14:17:18 2016	1453900638	0	46	46	46
Wed Jan 27 14:17:23 2016	1453900643	0	46	46	46
Wed Jan 27 14:17:13 2016	1453900633	0	46	46	46
Wed Jan 27 14:17:20 2016	1453900640	0	46	46	46
Wed Jan 27 14:17:22 2016	1453900642	0	46	46	46
Wed Jan 27 14:17:21 2016	1453900641	0	46	46	46
Wed Jan 27 14:17:23 2016	1453900643	0	46	46	46
Wed Jan 27 14:17:22 2016	1453900642	0	46	46	46
Wed Jan 27 14:17:19 2016	1453900639	0	46	46	46
